,Titles,Ratings,Cast,Genre
4,Boudica,60.57000000000001,"Josh Hutcherson,Piper Rubio,Elizabeth Lail,Matthew Lillard,Mary Stuart Masterson,Kat Conner Sterling,David Lind,Christian Stokes,Joseph Poliquin","Horror,Mystery"
5,The Locksmith,58.66,"Sylvester Stallone,Jason Statham,50 Cent,Megan Fox,Dolph Lundgren,Iko Uwais,Andy García,Tony Jaa,Randy Couture","Action,Adventure,Thriller"
6,Dashing Through the Snow,71.28,"Shah Rukh Khan,Nayanthara,Vijay Sethupathi,Priyamani,Sanya Malhotra,Sunil Grover,Ridhi Dogra,Deepika Padukone,Lehar Khan","Action,Adventure,Thriller"
7,The Monkey King: Reborn,71.0,"Vin Diesel,Michelle Rodriguez,Tyrese Gibson,Ludacris,John Cena,Nathalie Emmanuel,Jordana Brewster,Sung Kang,Jason Momoa","Action,Crime,Thriller"
8,Teenage Mutant Ninja Turtles: Mutant Mayhem,73.04,"Tom Cruise,Hayley Atwell,Ving Rhames,Simon Pegg,Rebecca Ferguson,Vanessa Kirby,Esai Morales,Pom Klementieff,Henry Czerny","Action,Thriller"
9,Radical,76.0,"Joaquin Phoenix,Vanessa Kirby,Tahar Rahim,Ben Miles,John Hollingworth,Youssef Kerkour,Davide Tucci,Edouard Philipponnat,Paul Rhys","Drama,History,War"
10,The Lake,58.67,"Dominique Vandenberg,Louis Mandylor,Carmen Argenziano,Manny Alva,Brad Ashten,Robb Zbacnik,Jeremiah B. McQueen,Geordie Robinson,Alina Andrei",Action
11,The Little Mermaid,64.84,"Cho Jin-woong,Cha Seung-won,Han Hyo-joo,Oh Seung-hoon,Kim Dong-young,Lee Joo-young,Jung Jun-won,Kang Seung-hyun,Jo Han-chul","Crime,Action,Thriller"
12,Mad Max: Fury Road,75.85,"Denzel Washington,Dakota Fanning,Eugenio Mastrandrea,David Denman,Gaia Scodellaro,Remo Girone,Andrea Scarduzio,Andrea Dodero,Daniele Perrone","Action,Thriller,Crime"
13,Pet Sematary: Bloodlines,60.739999999999995,"Tom Blyth,Rachel Zegler,Josh Andrés Rivera,Peter Dinklage,Viola Davis,Hunter Schafer,Jason Schwartzman,Mackenzie Lansing,Ashley Liao","Action,Romance,Drama"
14,Megalomaniac,62.0,"Ben Foster,Billy Magnussen,Vicky Krieps,Peter Sarsgaard,Saro Emirze,Danny DeVito,John Leguizamo,Dar Zuzovsky,Laurent Papot","History,Action,Drama"
15,Around the World in 80 Days,55.0,"Jason Statham,Wu Jing,Shuya Sophia Cai,Page Kennedy,Sergio Peris-Mencheta,Sienna Guillory,Cliff Curtis,Skyler Samuels,Melissanthi Mahut","Action,Science Fiction,Horror"
16,One Piece: Episode of Skypiea,71.83,"Xolo Mariduena,Bruna Marquezine,Susan Sarandon,Raoul Max Trujillo,Belissa Escobedo,Damián Alcázar,Elpidia Carrillo,George Lopez,Adriana Barraza","Action,Science Fiction,Adventure"
17,The Velveteen Rabbit,76.0,"Brie Larson,Teyonah Parris,Iman Vellani,Zawe Ashton,Samuel L. Jackson,Gary Lewis,Park Seo-jun,Zenobia Shroff,Mohan Kapur","Science Fiction,Adventure,Action"
18,The Killer,66.41,"Masako Nozawa,Hiromi Tsuru,Mayumi Tanaka,Kōhei Miyauchi,Hirotaka Suzuoki,Hiroko Emori,Toru Furuya,Mitsuko Horie,Banjo Ginga","Action,Animation"
19,Space Wars: Quest for the Deepstar,34.57,"Chris Pratt,Anya Taylor-Joy,Charlie Day,Jack Black,Keegan-Michael Key,Seth Rogen,Fred Armisen,Sebastian Maniscalco,Charles Martinet","Animation,Family,Adventure,Fantasy,Comedy"
0,Aquaman and the Lost Kingdom,0.0,"Anna Kendrick,Justin Timberlake,Camila Cabello,Eric André,Amy Schumer,Andrew Rannells,Daveed Diggs,Troye Sivan,Kid Cudi","Animation,Family,Music,Fantasy,Comedy"
1,How the Grinch Stole Christmas,67.47,"Cillian Murphy,Emily Blunt,Matt Damon,Robert Downey Jr.,Florence Pugh,Josh Hartnett,Casey Affleck,Rami Malek,Kenneth Branagh","Drama,History"
2,Top Gun: Maverick,82.47999999999999,"John David Washington,Madeleine Yuna Voyles,Gemma Chan,Allison Janney,Ken Watanabe,Sturgill Simpson,Amar Chadha-Patel,Marc Menchaca,Robbie Tann","Science Fiction,Action,Thriller"
3,Inside Out,79.22,"Adam Sandler,Bill Burr,Cecily Strong,Jason Alexander,Rob Schneider,Allison Strong,Jo Koy,Sadie Sandler,Sunny Sandler","Animation,Comedy,Family"
